OMRÅDE;KØN;ALDER;TID;CIVILSTAND;INDHOLD
Hele landet;I alt;95 år;2020K4;Fraskilt;216
Hele landet;I alt;96 år;2020K4;Fraskilt;150
Hele landet;I alt;97 år;2020K4;Fraskilt;99
Hele landet;I alt;98 år;2020K4;Fraskilt;66
Hele landet;I alt;99 år;2020K4;Fraskilt;43
Hele landet;I alt;100 år;2020K4;Fraskilt;29
Hele landet;I alt;101 år;2020K4;Fraskilt;19
Hele landet;I alt;102 år;2020K4;Fraskilt;7
Hele landet;I alt;103 år;2020K4;Fraskilt;5
Hele landet;I alt;104 år;2020K4;Fraskilt;5
Hele landet;I alt;105 år;2020K4;Fraskilt;1
Hele landet;I alt;106 år;2020K4;Fraskilt;1
Hele landet;I alt;107 år;2020K4;Fraskilt;0
Hele landet;I alt;108 år;2020K4;Fraskilt;0
Hele landet;I alt;109 år;2020K4;Fraskilt;0
Hele landet;I alt;110 år;2020K4;Fraskilt;0
Hele landet;I alt;111 år;2020K4;Fraskilt;0
Hele landet;I alt;112 år;2020K4;Fraskilt;0
Hele landet;I alt;113 år;2020K4;Fraskilt;0
Hele landet;I alt;114 år;2020K4;Fraskilt;0
Hele landet;I alt;115 år;2020K4;Fraskilt;0
Hele landet;I alt;116 år;2020K4;Fraskilt;0
Hele landet;I alt;117 år;2020K4;Fraskilt;0
Hele landet;I alt;118 år;2020K4;Fraskilt;0
Hele landet;I alt;119 år;2020K4;Fraskilt;0
Hele landet;I alt;120 år;2020K4;Fraskilt;0
Hele landet;I alt;121 år;2020K4;Fraskilt;0
Hele landet;I alt;122 år;2020K4;Fraskilt;0
Hele landet;I alt;123 år;2020K4;Fraskilt;0
Hele landet;I alt;124 år;2020K4;Fraskilt;0
Hele landet;I alt;125 år;2020K4;Fraskilt;0
Hele landet;Mænd;I alt;2020K4;Fraskilt;239684
Hele landet;Mænd;0 år;2020K4;Fraskilt;0
Hele landet;Mænd;1 år;2020K4;Fraskilt;0
Hele landet;Mænd;2 år;2020K4;Fraskilt;0
Hele landet;Mænd;3 år;2020K4;Fraskilt;0
Hele landet;Mænd;4 år;2020K4;Fraskilt;0
Hele landet;Mænd;5 år;2020K4;Fraskilt;0
Hele landet;Mænd;6 år;2020K4;Fraskilt;0
Hele landet;Mænd;7 år;2020K4;Fraskilt;0
Hele landet;Mænd;8 år;2020K4;Fraskilt;0
Hele landet;Mænd;9 år;2020K4;Fraskilt;0
Hele landet;Mænd;10 år;2020K4;Fraskilt;0
Hele landet;Mænd;11 år;2020K4;Fraskilt;0
Hele landet;Mænd;12 år;2020K4;Fraskilt;0
Hele landet;Mænd;13 år;2020K4;Fraskilt;0
Hele landet;Mænd;14 år;2020K4;Fraskilt;0
Hele landet;Mænd;15 år;2020K4;Fraskilt;0
Hele landet;Mænd;16 år;2020K4;Fraskilt;0
Hele landet;Mænd;17 år;2020K4;Fraskilt;0
Hele landet;Mænd;18 år;2020K4;Fraskilt;0
Hele landet;Mænd;19 år;2020K4;Fraskilt;1
Hele landet;Mænd;20 år;2020K4;Fraskilt;3
Hele landet;Mænd;21 år;2020K4;Fraskilt;12
Hele landet;Mænd;22 år;2020K4;Fraskilt;23
Hele landet;Mænd;23 år;2020K4;Fraskilt;28
Hele landet;Mænd;24 år;2020K4;Fraskilt;84
Hele landet;Mænd;25 år;2020K4;Fraskilt;114
Hele landet;Mænd;26 år;2020K4;Fraskilt;192
Hele landet;Mænd;27 år;2020K4;Fraskilt;244
Hele landet;Mænd;28 år;2020K4;Fraskilt;378
Hele landet;Mænd;29 år;2020K4;Fraskilt;524
Hele landet;Mænd;30 år;2020K4;Fraskilt;661
Hele landet;Mænd;31 år;2020K4;Fraskilt;815
Hele landet;Mænd;32 år;2020K4;Fraskilt;998
Hele landet;Mænd;33 år;2020K4;Fraskilt;1230
Hele landet;Mænd;34 år;2020K4;Fraskilt;1392
