OMRÅDE;KØN;ALDER;TID;INDHOLD
Hele landet;Mænd;I alt;2008K1;2712666
Hele landet;Mænd;0 år;2008K1;32976
Hele landet;Mænd;1 år;2008K1;33797
Hele landet;Mænd;2 år;2008K1;33129
Hele landet;Mænd;3 år;2008K1;33280
Hele landet;Mænd;4 år;2008K1;33398
Hele landet;Mænd;5 år;2008K1;33269
Hele landet;Mænd;6 år;2008K1;33615
Hele landet;Mænd;7 år;2008K1;34593
Hele landet;Mænd;8 år;2008K1;34174
Hele landet;Mænd;9 år;2008K1;34534
Hele landet;Mænd;10 år;2008K1;35332
Hele landet;Mænd;11 år;2008K1;35555
Hele landet;Mænd;12 år;2008K1;36924
Hele landet;Mænd;13 år;2008K1;36875
Hele landet;Mænd;14 år;2008K1;35822
Hele landet;Mænd;15 år;2008K1;36271
Hele landet;Mænd;16 år;2008K1;34634
Hele landet;Mænd;17 år;2008K1;34652
Hele landet;Mænd;18 år;2008K1;33490
Hele landet;Mænd;19 år;2008K1;32550
Hele landet;Mænd;20 år;2008K1;31662
Hele landet;Mænd;21 år;2008K1;31720
Hele landet;Mænd;22 år;2008K1;31140
Hele landet;Mænd;23 år;2008K1;30313
Hele landet;Mænd;24 år;2008K1;29713
Hele landet;Mænd;25 år;2008K1;30646
Hele landet;Mænd;26 år;2008K1;30393
Hele landet;Mænd;27 år;2008K1;32182
Hele landet;Mænd;28 år;2008K1;32978
Hele landet;Mænd;29 år;2008K1;34179
Hele landet;Mænd;30 år;2008K1;34170
Hele landet;Mænd;31 år;2008K1;35694
Hele landet;Mænd;32 år;2008K1;38401
Hele landet;Mænd;33 år;2008K1;38008
Hele landet;Mænd;34 år;2008K1;38247
Hele landet;Mænd;35 år;2008K1;39811
Hele landet;Mænd;36 år;2008K1;39870
Hele landet;Mænd;37 år;2008K1;38074
Hele landet;Mænd;38 år;2008K1;38207
Hele landet;Mænd;39 år;2008K1;39833
Hele landet;Mænd;40 år;2008K1;42446
Hele landet;Mænd;41 år;2008K1;45722
Hele landet;Mænd;42 år;2008K1;44144
Hele landet;Mænd;43 år;2008K1;43412
Hele landet;Mænd;44 år;2008K1;42229
Hele landet;Mænd;45 år;2008K1;39985
Hele landet;Mænd;46 år;2008K1;38787
Hele landet;Mænd;47 år;2008K1;38823
Hele landet;Mænd;48 år;2008K1;37140
Hele landet;Mænd;49 år;2008K1;37210
Hele landet;Mænd;50 år;2008K1;36930
Hele landet;Mænd;51 år;2008K1;37129
Hele landet;Mænd;52 år;2008K1;36677
Hele landet;Mænd;53 år;2008K1;35542
Hele landet;Mænd;54 år;2008K1;36198
Hele landet;Mænd;55 år;2008K1;35297
Hele landet;Mænd;56 år;2008K1;34825
Hele landet;Mænd;57 år;2008K1;35340
Hele landet;Mænd;58 år;2008K1;35056
Hele landet;Mænd;59 år;2008K1;36890
Hele landet;Mænd;60 år;2008K1;38982
Hele landet;Mænd;61 år;2008K1;40313
Hele landet;Mænd;62 år;2008K1;38560
Hele landet;Mænd;63 år;2008K1;36117
Hele landet;Mænd;64 år;2008K1;32600
Hele landet;Mænd;65 år;2008K1;30543
Hele landet;Mænd;66 år;2008K1;26640
Hele landet;Mænd;67 år;2008K1;25473
Hele landet;Mænd;68 år;2008K1;23993
Hele landet;Mænd;69 år;2008K1;23211
Hele landet;Mænd;70 år;2008K1;21586
Hele landet;Mænd;71 år;2008K1;20516
Hele landet;Mænd;72 år;2008K1;18944
Hele landet;Mænd;73 år;2008K1;17834
Hele landet;Mænd;74 år;2008K1;16450
Hele landet;Mænd;75 år;2008K1;15393
Hele landet;Mænd;76 år;2008K1;14537
Hele landet;Mænd;77 år;2008K1;13773
Hele landet;Mænd;78 år;2008K1;12901
Hele landet;Mænd;79 år;2008K1;12298
Hele landet;Mænd;80 år;2008K1;10884
Hele landet;Mænd;81 år;2008K1;10338
Hele landet;Mænd;82 år;2008K1;9235
Hele landet;Mænd;83 år;2008K1;8427
Hele landet;Mænd;84 år;2008K1;7159
Hele landet;Mænd;85 år;2008K1;6235
Hele landet;Mænd;86 år;2008K1;5635
Hele landet;Mænd;87 år;2008K1;4794
Hele landet;Mænd;88 år;2008K1;3531
Hele landet;Mænd;89 år;2008K1;3037
Hele landet;Mænd;90 år;2008K1;2248
Hele landet;Mænd;91 år;2008K1;1877
Hele landet;Mænd;92 år;2008K1;1362
Hele landet;Mænd;93 år;2008K1;1085
Hele landet;Mænd;94 år;2008K1;757
