OMRÅDE;KØN;ALDER;TID;INDHOLD
Hele landet;I alt;77 år;2020K4;50215
Hele landet;I alt;78 år;2020K4;45452
Hele landet;I alt;79 år;2020K4;39325
Hele landet;I alt;80 år;2020K4;36971
Hele landet;I alt;81 år;2020K4;33514
Hele landet;I alt;82 år;2020K4;31040
Hele landet;I alt;83 år;2020K4;27663
Hele landet;I alt;84 år;2020K4;24269
Hele landet;I alt;85 år;2020K4;21669
Hele landet;I alt;86 år;2020K4;18545
Hele landet;I alt;87 år;2020K4;15991
Hele landet;I alt;88 år;2020K4;13855
Hele landet;I alt;89 år;2020K4;11873
Hele landet;I alt;90 år;2020K4;9766
Hele landet;I alt;91 år;2020K4;8312
Hele landet;I alt;92 år;2020K4;6813
Hele landet;I alt;93 år;2020K4;5523
Hele landet;I alt;94 år;2020K4;4437
Hele landet;I alt;95 år;2020K4;3323
Hele landet;I alt;96 år;2020K4;2410
Hele landet;I alt;97 år;2020K4;1718
Hele landet;I alt;98 år;2020K4;1139
Hele landet;I alt;99 år;2020K4;802
Hele landet;I alt;100 år;2020K4;561
Hele landet;I alt;101 år;2020K4;280
Hele landet;I alt;102 år;2020K4;178
Hele landet;I alt;103 år;2020K4;76
Hele landet;I alt;104 år;2020K4;62
Hele landet;I alt;105 år;2020K4;24
Hele landet;I alt;106 år;2020K4;18
Hele landet;I alt;107 år;2020K4;8
Hele landet;I alt;108 år;2020K4;3
Hele landet;I alt;109 år;2020K4;0
Hele landet;I alt;110 år;2020K4;1
Hele landet;I alt;111 år;2020K4;0
Hele landet;I alt;112 år;2020K4;1
Hele landet;I alt;113 år;2020K4;0
Hele landet;I alt;114 år;2020K4;0
Hele landet;I alt;115 år;2020K4;0
Hele landet;I alt;116 år;2020K4;0
Hele landet;I alt;117 år;2020K4;0
Hele landet;I alt;118 år;2020K4;0
Hele landet;I alt;119 år;2020K4;0
Hele landet;I alt;120 år;2020K4;0
Hele landet;I alt;121 år;2020K4;0
Hele landet;I alt;122 år;2020K4;0
Hele landet;I alt;123 år;2020K4;0
Hele landet;I alt;124 år;2020K4;0
Hele landet;I alt;125 år;2020K4;0
Hele landet;Mænd;I alt;2020K4;2903441
Hele landet;Mænd;0 år;2020K4;31397
Hele landet;Mænd;1 år;2020K4;31786
Hele landet;Mænd;2 år;2020K4;32024
Hele landet;Mænd;3 år;2020K4;31816
Hele landet;Mænd;4 år;2020K4;32256
Hele landet;Mænd;5 år;2020K4;30340
Hele landet;Mænd;6 år;2020K4;30049
Hele landet;Mænd;7 år;2020K4;30441
Hele landet;Mænd;8 år;2020K4;31125
Hele landet;Mænd;9 år;2020K4;32337
Hele landet;Mænd;10 år;2020K4;34253
Hele landet;Mænd;11 år;2020K4;34471
Hele landet;Mænd;12 år;2020K4;35522
Hele landet;Mænd;13 år;2020K4;34532
Hele landet;Mænd;14 år;2020K4;35074
Hele landet;Mænd;15 år;2020K4;34847
Hele landet;Mænd;16 år;2020K4;34686
Hele landet;Mænd;17 år;2020K4;34800
Hele landet;Mænd;18 år;2020K4;34645
Hele landet;Mænd;19 år;2020K4;36134
Hele landet;Mænd;20 år;2020K4;36821
Hele landet;Mænd;21 år;2020K4;37452
Hele landet;Mænd;22 år;2020K4;38090
Hele landet;Mænd;23 år;2020K4;40000
Hele landet;Mænd;24 år;2020K4;40220
Hele landet;Mænd;25 år;2020K4;42021
Hele landet;Mænd;26 år;2020K4;40934
Hele landet;Mænd;27 år;2020K4;41157
Hele landet;Mænd;28 år;2020K4;40971
Hele landet;Mænd;29 år;2020K4;39906
Hele landet;Mænd;30 år;2020K4;39662
Hele landet;Mænd;31 år;2020K4;38313
Hele landet;Mænd;32 år;2020K4;37228
Hele landet;Mænd;33 år;2020K4;36062
Hele landet;Mænd;34 år;2020K4;35411
Hele landet;Mænd;35 år;2020K4;34135
Hele landet;Mænd;36 år;2020K4;33078
Hele landet;Mænd;37 år;2020K4;32692
Hele landet;Mænd;38 år;2020K4;32771
Hele landet;Mænd;39 år;2020K4;32879
Hele landet;Mænd;40 år;2020K4;34586
Hele landet;Mænd;41 år;2020K4;35061
Hele landet;Mænd;42 år;2020K4;35972
Hele landet;Mænd;43 år;2020K4;35357
Hele landet;Mænd;44 år;2020K4;37609
Hele landet;Mænd;45 år;2020K4;39563
Hele landet;Mænd;46 år;2020K4;38719
Hele landet;Mænd;47 år;2020K4;38766
Hele landet;Mænd;48 år;2020K4;40867
Hele landet;Mænd;49 år;2020K4;39617
Hele landet;Mænd;50 år;2020K4;37777
Hele landet;Mænd;51 år;2020K4;38300
Hele landet;Mænd;52 år;2020K4;39849
Hele landet;Mænd;53 år;2020K4;43035
Hele landet;Mænd;54 år;2020K4;44294
Hele landet;Mænd;55 år;2020K4;42862
Hele landet;Mænd;56 år;2020K4;41580
Hele landet;Mænd;57 år;2020K4;39962
Hele landet;Mænd;58 år;2020K4;38031
Hele landet;Mænd;59 år;2020K4;36498
Hele landet;Mænd;60 år;2020K4;36082
Hele landet;Mænd;61 år;2020K4;34680
Hele landet;Mænd;62 år;2020K4;34186
Hele landet;Mænd;63 år;2020K4;33745
Hele landet;Mænd;64 år;2020K4;33382
Hele landet;Mænd;65 år;2020K4;32679
Hele landet;Mænd;66 år;2020K4;31382
Hele landet;Mænd;67 år;2020K4;32022
Hele landet;Mænd;68 år;2020K4;30242
Hele landet;Mænd;69 år;2020K4;29580
Hele landet;Mænd;70 år;2020K4;29915
Hele landet;Mænd;71 år;2020K4;29391
Hele landet;Mænd;72 år;2020K4;30609
Hele landet;Mænd;73 år;2020K4;31934
Hele landet;Mænd;74 år;2020K4;32191
Hele landet;Mænd;75 år;2020K4;29329
Hele landet;Mænd;76 år;2020K4;26409
Hele landet;Mænd;77 år;2020K4;23290
Hele landet;Mænd;78 år;2020K4;21091
Hele landet;Mænd;79 år;2020K4;17862
Hele landet;Mænd;80 år;2020K4;16876
Hele landet;Mænd;81 år;2020K4;14925
Hele landet;Mænd;82 år;2020K4;13649
Hele landet;Mænd;83 år;2020K4;11808
Hele landet;Mænd;84 år;2020K4;10266
Hele landet;Mænd;85 år;2020K4;8889
Hele landet;Mænd;86 år;2020K4;7479
Hele landet;Mænd;87 år;2020K4;6227
Hele landet;Mænd;88 år;2020K4;5203
Hele landet;Mænd;89 år;2020K4;4238
Hele landet;Mænd;90 år;2020K4;3341
Hele landet;Mænd;91 år;2020K4;2740
Hele landet;Mænd;92 år;2020K4;2132
Hele landet;Mænd;93 år;2020K4;1600
Hele landet;Mænd;94 år;2020K4;1201
Hele landet;Mænd;95 år;2020K4;801
Hele landet;Mænd;96 år;2020K4;534
Hele landet;Mænd;97 år;2020K4;344
Hele landet;Mænd;98 år;2020K4;208
Hele landet;Mænd;99 år;2020K4;145
Hele landet;Mænd;100 år;2020K4;90
Hele landet;Mænd;101 år;2020K4;52
Hele landet;Mænd;102 år;2020K4;30
Hele landet;Mænd;103 år;2020K4;8
Hele landet;Mænd;104 år;2020K4;7
Hele landet;Mænd;105 år;2020K4;1
Hele landet;Mænd;106 år;2020K4;2
Hele landet;Mænd;107 år;2020K4;0
Hele landet;Mænd;108 år;2020K4;1
Hele landet;Mænd;109 år;2020K4;0
Hele landet;Mænd;110 år;2020K4;0
Hele landet;Mænd;111 år;2020K4;0
Hele landet;Mænd;112 år;2020K4;0
Hele landet;Mænd;113 år;2020K4;0
Hele landet;Mænd;114 år;2020K4;0
Hele landet;Mænd;115 år;2020K4;0
Hele landet;Mænd;116 år;2020K4;0
Hele landet;Mænd;117 år;2020K4;0
Hele landet;Mænd;118 år;2020K4;0
Hele landet;Mænd;119 år;2020K4;0
Hele landet;Mænd;120 år;2020K4;0
Hele landet;Mænd;121 år;2020K4;0
Hele landet;Mænd;122 år;2020K4;0
Hele landet;Mænd;123 år;2020K4;0
Hele landet;Mænd;124 år;2020K4;0
Hele landet;Mænd;125 år;2020K4;0
Hele landet;Kvinder;I alt;2020K4;2933772
Hele landet;Kvinder;0 år;2020K4;29984
Hele landet;Kvinder;1 år;2020K4;29864
Hele landet;Kvinder;2 år;2020K4;30508
Hele landet;Kvinder;3 år;2020K4;30112
Hele landet;Kvinder;4 år;2020K4;30341
Hele landet;Kvinder;5 år;2020K4;28792
Hele landet;Kvinder;6 år;2020K4;28479
Hele landet;Kvinder;7 år;2020K4;28913
Hele landet;Kvinder;8 år;2020K4;29461
Hele landet;Kvinder;9 år;2020K4;31105
Hele landet;Kvinder;10 år;2020K4;32389
Hele landet;Kvinder;11 år;2020K4;32513
Hele landet;Kvinder;12 år;2020K4;33541
Hele landet;Kvinder;13 år;2020K4;32931
Hele landet;Kvinder;14 år;2020K4;33427
Hele landet;Kvinder;15 år;2020K4;33263
Hele landet;Kvinder;16 år;2020K4;33373
Hele landet;Kvinder;17 år;2020K4;32936
Hele landet;Kvinder;18 år;2020K4;33254
Hele landet;Kvinder;19 år;2020K4;34262
Hele landet;Kvinder;20 år;2020K4;35300
Hele landet;Kvinder;21 år;2020K4;36079
Hele landet;Kvinder;22 år;2020K4;36380
Hele landet;Kvinder;23 år;2020K4;38645
Hele landet;Kvinder;24 år;2020K4;38296
Hele landet;Kvinder;25 år;2020K4;40483
Hele landet;Kvinder;26 år;2020K4;39532
Hele landet;Kvinder;27 år;2020K4;39494
Hele landet;Kvinder;28 år;2020K4;39226
Hele landet;Kvinder;29 år;2020K4;38472
Hele landet;Kvinder;30 år;2020K4;38114
Hele landet;Kvinder;31 år;2020K4;37226
Hele landet;Kvinder;32 år;2020K4;35527
Hele landet;Kvinder;33 år;2020K4;34443
Hele landet;Kvinder;34 år;2020K4;33881
Hele landet;Kvinder;35 år;2020K4;33266
Hele landet;Kvinder;36 år;2020K4;32183
Hele landet;Kvinder;37 år;2020K4;31647
Hele landet;Kvinder;38 år;2020K4;32322
Hele landet;Kvinder;39 år;2020K4;32585
Hele landet;Kvinder;40 år;2020K4;34455
Hele landet;Kvinder;41 år;2020K4;34646
Hele landet;Kvinder;42 år;2020K4;35750
Hele landet;Kvinder;43 år;2020K4;35262
Hele landet;Kvinder;44 år;2020K4;37722
Hele landet;Kvinder;45 år;2020K4;39629
Hele landet;Kvinder;46 år;2020K4;38880
Hele landet;Kvinder;47 år;2020K4;39092
Hele landet;Kvinder;48 år;2020K4;40721
Hele landet;Kvinder;49 år;2020K4;39017
Hele landet;Kvinder;50 år;2020K4;37965
Hele landet;Kvinder;51 år;2020K4;37658
Hele landet;Kvinder;52 år;2020K4;39332
Hele landet;Kvinder;53 år;2020K4;42357
Hele landet;Kvinder;54 år;2020K4;43630
Hele landet;Kvinder;55 år;2020K4;42345
Hele landet;Kvinder;56 år;2020K4;41039
Hele landet;Kvinder;57 år;2020K4;39543
Hele landet;Kvinder;58 år;2020K4;38238
Hele landet;Kvinder;59 år;2020K4;36718
Hele landet;Kvinder;60 år;2020K4;36159
Hele landet;Kvinder;61 år;2020K4;35220
Hele landet;Kvinder;62 år;2020K4;34785
Hele landet;Kvinder;63 år;2020K4;34436
Hele landet;Kvinder;64 år;2020K4;34472
Hele landet;Kvinder;65 år;2020K4;33515
Hele landet;Kvinder;66 år;2020K4;33037
Hele landet;Kvinder;67 år;2020K4;33437
Hele landet;Kvinder;68 år;2020K4;31773
Hele landet;Kvinder;69 år;2020K4;31448
Hele landet;Kvinder;70 år;2020K4;32223
Hele landet;Kvinder;71 år;2020K4;32030
Hele landet;Kvinder;72 år;2020K4;32657
Hele landet;Kvinder;73 år;2020K4;34756
Hele landet;Kvinder;74 år;2020K4;34281
Hele landet;Kvinder;75 år;2020K4;32179
Hele landet;Kvinder;76 år;2020K4;30019
Hele landet;Kvinder;77 år;2020K4;26925
Hele landet;Kvinder;78 år;2020K4;24361
Hele landet;Kvinder;79 år;2020K4;21463
Hele landet;Kvinder;80 år;2020K4;20095
Hele landet;Kvinder;81 år;2020K4;18589
Hele landet;Kvinder;82 år;2020K4;17391
Hele landet;Kvinder;83 år;2020K4;15855
Hele landet;Kvinder;84 år;2020K4;14003
Hele landet;Kvinder;85 år;2020K4;12780
Hele landet;Kvinder;86 år;2020K4;11066
Hele landet;Kvinder;87 år;2020K4;9764
Hele landet;Kvinder;88 år;2020K4;8652
Hele landet;Kvinder;89 år;2020K4;7635
Hele landet;Kvinder;90 år;2020K4;6425
Hele landet;Kvinder;91 år;2020K4;5572
Hele landet;Kvinder;92 år;2020K4;4681
Hele landet;Kvinder;93 år;2020K4;3923
Hele landet;Kvinder;94 år;2020K4;3236
Hele landet;Kvinder;95 år;2020K4;2522
Hele landet;Kvinder;96 år;2020K4;1876
Hele landet;Kvinder;97 år;2020K4;1374
Hele landet;Kvinder;98 år;2020K4;931
Hele landet;Kvinder;99 år;2020K4;657
Hele landet;Kvinder;100 år;2020K4;471
Hele landet;Kvinder;101 år;2020K4;228
Hele landet;Kvinder;102 år;2020K4;148
Hele landet;Kvinder;103 år;2020K4;68
Hele landet;Kvinder;104 år;2020K4;55
Hele landet;Kvinder;105 år;2020K4;23
Hele landet;Kvinder;106 år;2020K4;16
Hele landet;Kvinder;107 år;2020K4;8
Hele landet;Kvinder;108 år;2020K4;2
Hele landet;Kvinder;109 år;2020K4;0
Hele landet;Kvinder;110 år;2020K4;1
Hele landet;Kvinder;111 år;2020K4;0
Hele landet;Kvinder;112 år;2020K4;1
Hele landet;Kvinder;113 år;2020K4;0
Hele landet;Kvinder;114 år;2020K4;0
Hele landet;Kvinder;115 år;2020K4;0
Hele landet;Kvinder;116 år;2020K4;0
Hele landet;Kvinder;117 år;2020K4;0
Hele landet;Kvinder;118 år;2020K4;0
Hele landet;Kvinder;119 år;2020K4;0
Hele landet;Kvinder;120 år;2020K4;0
Hele landet;Kvinder;121 år;2020K4;0
Hele landet;Kvinder;122 år;2020K4;0
Hele landet;Kvinder;123 år;2020K4;0
Hele landet;Kvinder;124 år;2020K4;0
Hele landet;Kvinder;125 år;2020K4;0
