OMRÅDE;KØN;ALDER;TID;INDHOLD
Hele landet;I alt;I alt;2020K4;5837213
Hele landet;I alt;0 år;2020K4;61381
Hele landet;I alt;1 år;2020K4;61650
Hele landet;I alt;2 år;2020K4;62532
Hele landet;I alt;3 år;2020K4;61928
Hele landet;I alt;4 år;2020K4;62597
Hele landet;I alt;5 år;2020K4;59132
Hele landet;I alt;6 år;2020K4;58528
Hele landet;I alt;7 år;2020K4;59354
Hele landet;I alt;8 år;2020K4;60586
Hele landet;I alt;9 år;2020K4;63442
Hele landet;I alt;10 år;2020K4;66642
Hele landet;I alt;11 år;2020K4;66984
Hele landet;I alt;12 år;2020K4;69063
Hele landet;I alt;13 år;2020K4;67463
Hele landet;I alt;14 år;2020K4;68501
Hele landet;I alt;15 år;2020K4;68110
Hele landet;I alt;16 år;2020K4;68059
Hele landet;I alt;17 år;2020K4;67736
Hele landet;I alt;18 år;2020K4;67899
Hele landet;I alt;19 år;2020K4;70396
Hele landet;I alt;20 år;2020K4;72121
Hele landet;I alt;21 år;2020K4;73531
Hele landet;I alt;22 år;2020K4;74470
Hele landet;I alt;23 år;2020K4;78645
Hele landet;I alt;24 år;2020K4;78516
Hele landet;I alt;25 år;2020K4;82504
Hele landet;I alt;26 år;2020K4;80466
Hele landet;I alt;27 år;2020K4;80651
Hele landet;I alt;28 år;2020K4;80197
Hele landet;I alt;29 år;2020K4;78378
Hele landet;I alt;30 år;2020K4;77776
Hele landet;I alt;31 år;2020K4;75539
Hele landet;I alt;32 år;2020K4;72755
Hele landet;I alt;33 år;2020K4;70505
Hele landet;I alt;34 år;2020K4;69292
Hele landet;I alt;35 år;2020K4;67401
Hele landet;I alt;36 år;2020K4;65261
Hele landet;I alt;37 år;2020K4;64339
Hele landet;I alt;38 år;2020K4;65093
Hele landet;I alt;39 år;2020K4;65464
Hele landet;I alt;40 år;2020K4;69041
Hele landet;I alt;41 år;2020K4;69707
Hele landet;I alt;42 år;2020K4;71722
Hele landet;I alt;43 år;2020K4;70619
Hele landet;I alt;44 år;2020K4;75331
Hele landet;I alt;45 år;2020K4;79192
Hele landet;I alt;46 år;2020K4;77599
Hele landet;I alt;47 år;2020K4;77858
Hele landet;I alt;48 år;2020K4;81588
Hele landet;I alt;49 år;2020K4;78634
Hele landet;I alt;50 år;2020K4;75742
Hele landet;I alt;51 år;2020K4;75958
Hele landet;I alt;52 år;2020K4;79181
Hele landet;I alt;53 år;2020K4;85392
Hele landet;I alt;54 år;2020K4;87924
Hele landet;I alt;55 år;2020K4;85207
Hele landet;I alt;56 år;2020K4;82619
Hele landet;I alt;57 år;2020K4;79505
Hele landet;I alt;58 år;2020K4;76269
Hele landet;I alt;59 år;2020K4;73216
Hele landet;I alt;60 år;2020K4;72241
Hele landet;I alt;61 år;2020K4;69900
Hele landet;I alt;62 år;2020K4;68971
Hele landet;I alt;63 år;2020K4;68181
Hele landet;I alt;64 år;2020K4;67854
Hele landet;I alt;65 år;2020K4;66194
Hele landet;I alt;66 år;2020K4;64419
Hele landet;I alt;67 år;2020K4;65459
Hele landet;I alt;68 år;2020K4;62015
Hele landet;I alt;69 år;2020K4;61028
Hele landet;I alt;70 år;2020K4;62138
Hele landet;I alt;71 år;2020K4;61421
Hele landet;I alt;72 år;2020K4;63266
Hele landet;I alt;73 år;2020K4;66690
Hele landet;I alt;74 år;2020K4;66472
Hele landet;I alt;75 år;2020K4;61508
Hele landet;I alt;76 år;2020K4;56428
