KØN;OMRÅDE;ALDER;TID;CIVILSTAND;INDHOLD
I alt;Hele landet;106 år;2020K4;Gift/separeret;0
I alt;Hele landet;107 år;2020K4;Gift/separeret;0
I alt;Hele landet;108 år;2020K4;Gift/separeret;0
I alt;Hele landet;109 år;2020K4;Gift/separeret;0
I alt;Hele landet;110 år;2020K4;Gift/separeret;0
I alt;Hele landet;111 år;2020K4;Gift/separeret;0
I alt;Hele landet;112 år;2020K4;Gift/separeret;0
I alt;Hele landet;113 år;2020K4;Gift/separeret;0
I alt;Hele landet;114 år;2020K4;Gift/separeret;0
I alt;Hele landet;115 år;2020K4;Gift/separeret;0
I alt;Hele landet;116 år;2020K4;Gift/separeret;0
I alt;Hele landet;117 år;2020K4;Gift/separeret;0
I alt;Hele landet;118 år;2020K4;Gift/separeret;0
I alt;Hele landet;119 år;2020K4;Gift/separeret;0
I alt;Hele landet;120 år;2020K4;Gift/separeret;0
I alt;Hele landet;121 år;2020K4;Gift/separeret;0
I alt;Hele landet;122 år;2020K4;Gift/separeret;0
I alt;Hele landet;123 år;2020K4;Gift/separeret;0
I alt;Hele landet;124 år;2020K4;Gift/separeret;0
I alt;Hele landet;125 år;2020K4;Gift/separeret;0
