OMRÅDE;KØN;ALDER;CIVILSTAND;TID;INDHOLD
Hele landet;I alt;95 år;Fraskilt;2008K1;138
Hele landet;I alt;96 år;Fraskilt;2008K1;74
Hele landet;I alt;97 år;Fraskilt;2008K1;70
Hele landet;I alt;98 år;Fraskilt;2008K1;45
Hele landet;I alt;99 år;Fraskilt;2008K1;28
Hele landet;I alt;100 år;Fraskilt;2008K1;17
Hele landet;I alt;101 år;Fraskilt;2008K1;9
Hele landet;I alt;102 år;Fraskilt;2008K1;2
Hele landet;I alt;103 år;Fraskilt;2008K1;2
Hele landet;I alt;104 år;Fraskilt;2008K1;2
Hele landet;I alt;105 år;Fraskilt;2008K1;0
Hele landet;I alt;106 år;Fraskilt;2008K1;0
Hele landet;I alt;107 år;Fraskilt;2008K1;0
Hele landet;I alt;108 år;Fraskilt;2008K1;0
Hele landet;I alt;109 år;Fraskilt;2008K1;0
Hele landet;I alt;110 år;Fraskilt;2008K1;0
Hele landet;I alt;111 år;Fraskilt;2008K1;0
Hele landet;I alt;112 år;Fraskilt;2008K1;0
Hele landet;I alt;113 år;Fraskilt;2008K1;0
Hele landet;I alt;114 år;Fraskilt;2008K1;0
Hele landet;I alt;115 år;Fraskilt;2008K1;0
Hele landet;I alt;116 år;Fraskilt;2008K1;0
Hele landet;I alt;117 år;Fraskilt;2008K1;0
Hele landet;I alt;118 år;Fraskilt;2008K1;0
Hele landet;I alt;119 år;Fraskilt;2008K1;0
Hele landet;I alt;120 år;Fraskilt;2008K1;0
Hele landet;I alt;121 år;Fraskilt;2008K1;0
Hele landet;I alt;122 år;Fraskilt;2008K1;0
Hele landet;I alt;123 år;Fraskilt;2008K1;0
Hele landet;I alt;124 år;Fraskilt;2008K1;0
Hele landet;I alt;125 år;Fraskilt;2008K1;0
Hele landet;Mænd;I alt;Fraskilt;2008K1;186566
Hele landet;Mænd;0 år;Fraskilt;2008K1;0
Hele landet;Mænd;1 år;Fraskilt;2008K1;0
Hele landet;Mænd;2 år;Fraskilt;2008K1;0
Hele landet;Mænd;3 år;Fraskilt;2008K1;0
Hele landet;Mænd;4 år;Fraskilt;2008K1;0
Hele landet;Mænd;5 år;Fraskilt;2008K1;0
Hele landet;Mænd;6 år;Fraskilt;2008K1;0
Hele landet;Mænd;7 år;Fraskilt;2008K1;0
Hele landet;Mænd;8 år;Fraskilt;2008K1;0
Hele landet;Mænd;9 år;Fraskilt;2008K1;0
Hele landet;Mænd;10 år;Fraskilt;2008K1;0
Hele landet;Mænd;11 år;Fraskilt;2008K1;0
Hele landet;Mænd;12 år;Fraskilt;2008K1;0
Hele landet;Mænd;13 år;Fraskilt;2008K1;0
Hele landet;Mænd;14 år;Fraskilt;2008K1;0
Hele landet;Mænd;15 år;Fraskilt;2008K1;0
Hele landet;Mænd;16 år;Fraskilt;2008K1;0
Hele landet;Mænd;17 år;Fraskilt;2008K1;0
Hele landet;Mænd;18 år;Fraskilt;2008K1;1
Hele landet;Mænd;19 år;Fraskilt;2008K1;1
Hele landet;Mænd;20 år;Fraskilt;2008K1;2
Hele landet;Mænd;21 år;Fraskilt;2008K1;6
Hele landet;Mænd;22 år;Fraskilt;2008K1;12
Hele landet;Mænd;23 år;Fraskilt;2008K1;26
Hele landet;Mænd;24 år;Fraskilt;2008K1;46
Hele landet;Mænd;25 år;Fraskilt;2008K1;102
Hele landet;Mænd;26 år;Fraskilt;2008K1;183
Hele landet;Mænd;27 år;Fraskilt;2008K1;277
Hele landet;Mænd;28 år;Fraskilt;2008K1;416
Hele landet;Mænd;29 år;Fraskilt;2008K1;566
Hele landet;Mænd;30 år;Fraskilt;2008K1;720
Hele landet;Mænd;31 år;Fraskilt;2008K1;1005
Hele landet;Mænd;32 år;Fraskilt;2008K1;1358
Hele landet;Mænd;33 år;Fraskilt;2008K1;1600
Hele landet;Mænd;34 år;Fraskilt;2008K1;1941
Hele landet;Mænd;35 år;Fraskilt;2008K1;2227
Hele landet;Mænd;36 år;Fraskilt;2008K1;2678
Hele landet;Mænd;37 år;Fraskilt;2008K1;2818
Hele landet;Mænd;38 år;Fraskilt;2008K1;3114
Hele landet;Mænd;39 år;Fraskilt;2008K1;3619
Hele landet;Mænd;40 år;Fraskilt;2008K1;4160
Hele landet;Mænd;41 år;Fraskilt;2008K1;4765
Hele landet;Mænd;42 år;Fraskilt;2008K1;5006
Hele landet;Mænd;43 år;Fraskilt;2008K1;4895
Hele landet;Mænd;44 år;Fraskilt;2008K1;4984
Hele landet;Mænd;45 år;Fraskilt;2008K1;4936
Hele landet;Mænd;46 år;Fraskilt;2008K1;4970
Hele landet;Mænd;47 år;Fraskilt;2008K1;5251
Hele landet;Mænd;48 år;Fraskilt;2008K1;5020
Hele landet;Mænd;49 år;Fraskilt;2008K1;5250
